session;type_du_diplome;filiere;diplome;intitule_du_diplome;code_du_diplome;scolaires_presents;scolaires_admis;taux_de_reussite_scolaire;apprentis_presents;apprentis_admis;taux_de_reussite_en_apprentissage;formation_continue_presents;formation_continue_admis;taux_de_reussite_en_formation_continue;individuels_presents;individuels_admis;taux_de_reussite_individuel;enseignement_a_distance_presents;enseignement_a_distance_admis;taux_de_reussite_enseignement_a_distance;total_presents;total_admis;taux_de_reussite_total;diplome_court
2018;BAC PRO;Aéronautique;BAC PRO 25303 AERONAUTIQUE OPTION SYSTEMES;AERONAUTIQUE OPTION SYSTEMES;25303;295;265;0.898305084745763;25;24;0.96;17;17;1.0;;;;;;;337;306;0.9080118694362018;BAC PRO AERONAUTIQUE OPTION SYSTEMES
2018;BAC PRO;Aéronautique;BAC PRO 25305 AVIATION GENERALE;AVIATION GENERALE;25305;25;22;0.88;;;;;;;;;;;;;25;22;0.88;BAC PRO AVIATION GENERALE
2018;BAC PRO;Alimentation, hôtellerie, restauration, tourisme;BAC PRO 22104 BOUCHER CHARCUTIER TRAITEUR;BOUCHER CHARCUTIER TRAITEUR;22104;106;97;0.915094339622642;;;;;;;;;;;;;106;97;0.9150943396226415;BAC PRO BOUCHER CHARCUTIER TRAITEUR
2018;BAC PRO;Automobile, engins;BAC PRO 25212 MAINT.MATERIELS OPT.B TP MANUTEN;MAINT.MATERIELS OPT.B TP MANUTEN;25212;457;353;0.772428884026258;69;54;0.782608695652174;1;1;1.0;;;;;;;527;408;0.7741935483870968;BAC PRO MAINT.MATERIELS OPT.B TP MANUTEN
2018;BAC PRO;Automobile, engins;BAC PRO 25408 REPARATION DES CARROSSERIES;REPARATION DES CARROSSERIES;25408;1217;898;0.737880032867707;90;68;0.755555555555556;4;3;0.75;;;;;;;1311;969;0.7391304347826086;BAC PRO REPARATION DES CARROSSERIES
2018;BAC PRO;Construction, bâtiment, travaux publics;BAC PRO 23102 TRAVAUX PUBLICS;TRAVAUX PUBLICS;23102;568;475;0.836267605633803;199;168;0.844221105527638;8;7;0.875;;;;;;;775;650;0.8387096774193549;BAC PRO TRAVAUX PUBLICS
2018;BAC PRO;Construction, bâtiment, travaux publics;BAC PRO 23103 TECHNICIEN GEOMETRE-TOPOGRAPHE;TECHNICIEN GEOMETRE-TOPOGRAPHE;23103;493;380;0.77079107505071;2;2;1.0;2;2;1.0;;;;;;;497;384;0.772635814889336;BAC PRO TECHNICIEN GEOMETRE-TOPOGRAPHE
2018;BAC PRO;Construction, bâtiment, travaux publics;BAC PRO 23203 TECHNICIEN BAT. : ORG.REAL.GROS O;TECHNICIEN BAT. : ORG.REAL.GROS O;23203;961;713;0.741935483870968;65;58;0.892307692307692;5;5;1.0;2;0;0.0;;;;1033;776;0.7512100677637947;BAC PRO TECHNICIEN BAT. : ORG.REAL.GROS O
2018;BAC PRO;Construction, bâtiment, travaux publics;BAC PRO 23206 INTERV. SUR PATRIMOINE BATI OPT.B;INTERV. SUR PATRIMOINE BATI OPT.B;23206;10;8;0.8;;;;;;;;;;;;;10;8;0.8;BAC PRO INTERV. SUR PATRIMOINE BATI OPT.B
2018;BAC PRO;Construction, bâtiment, travaux publics;BAC PRO 25406 OUVRAGES DU BATIMENT METALLERIE;OUVRAGES DU BATIMENT METALLERIE;25406;515;389;0.755339805825243;27;22;0.814814814814815;3;3;1.0;;;;;;;545;414;0.7596330275229358;BAC PRO OUVRAGES DU BATIMENT METALLERIE
2018;BAC PRO;Electricité, électronique/numérique, environnement;BAC PRO 25509 TECHNIC. FROID CONDITIONNEMT AIR;TECHNIC. FROID CONDITIONNEMT AIR;25509;1152;817;0.709201388888889;27;24;0.888888888888889;35;30;0.857142857142857;;;;;;;1214;871;0.7174629324546952;BAC PRO TECHNIC. FROID CONDITIONNEMT AIR
2018;BAC PRO;Gestion-administration, transport, logistique, sécurité;BAC PRO 30001 GESTION-ADMINISTRATION;GESTION-ADMINISTRATION;30001;24183;18888;0.781044535417442;471;411;0.872611464968153;463;427;0.922246220302376;15;11;0.733333333333333;74;38;0.513513513513514;25206;19775;0.7845354280726811;BAC PRO GESTION-ADMINISTRATION
2018;BAC PRO;Gestion-administration, transport, logistique, sécurité;BAC PRO 31109 TRANSPORT FLUVIAL;TRANSPORT FLUVIAL;31109;27;21;0.777777777777778;;;;;;;;;;;;;27;21;0.7777777777777778;BAC PRO TRANSPORT FLUVIAL
2018;BAC PRO;Industries graphiques, communication, audiovisuel, spectacle;BAC PRO 23003 ARTIS. & M.ART:MARCHANDISAGE VIS.;ARTIS. & M.ART:MARCHANDISAGE VIS.;23003;349;312;0.893982808022923;;;;;;;;;;;;;349;312;0.8939828080229226;BAC PRO ARTIS. & M.ART:MARCHANDISAGE VIS.
2018;BAC PRO;Productique, mécanique, automatisation;BAC PRO 20002 ETUD.DEFINITION PRDTS INDUSTRIEL;ETUD.DEFINITION PRDTS INDUSTRIEL;20002;659;499;0.757207890743551;;;;1;1;1.0;;;;;;;660;500;0.7575757575757576;BAC PRO ETUD.DEFINITION PRDTS INDUSTRIEL
2018;BAC PRO;Productique, mécanique, automatisation;BAC PRO 20102 PILOTE DE LIGNE DE PRODUCTION;PILOTE DE LIGNE DE PRODUCTION;20102;289;182;0.629757785467128;91;74;0.813186813186813;96;93;0.96875;;;;;;;476;349;0.7331932773109243;BAC PRO PILOTE DE LIGNE DE PRODUCTION
2018;BAC PRO;Productique, mécanique, automatisation;BAC PRO 23406 TECHNICIEN DE SCIERIE;TECHNICIEN DE SCIERIE;23406;15;11;0.733333333333333;1;1;1.0;;;;;;;;;;16;12;0.75;BAC PRO TECHNICIEN DE SCIERIE
