annee;diplome;situation;genre;disciplines;code_du_domaine;domaine;code_de_la_discipline;discipline;code_du_secteur_disciplinaire;secteur_disciplinaire;nombre_de_reponses;taux_d_insertion;taux_d_emploi;taux_d_emploi_salarie_en_france;emplois_cadre_ou_professions_intermediaires;emplois_cadre;emplois_exterieurs_a_la_region_de_l_universite;emplois_stables;emplois_a_temps_plein;salaire_net_median_des_emplois_a_temps_plein;salaire_brut_annuel_estime;salaire_net_des_emplois_a_temps_plein_1_er_quartile;salaire_net_des_emplois_a_temps_plein_3eme_quartile;diplomes_boursiers;femmes;taux_de_chomage_national;salaire_net_mensuel_median_national;code_du_secteur_disciplinaire_sise;salaire_net_mensuel_national_1er_quartile;salaire_net_mensuel_national_3eme_quartile;cle_disc;statut_liberal;statut_fonct;statut_cdi;statut_cdimiss;statut_conspe;statut_cdd;statut_vac;statut_interim;statut_intermit;statut_contrpro;statut_aide;statut_volont;employ_meme;employ_fp;employ_entrpriv;employ_entrpub;employ_asso;employ_libe;employ_orga;employ_sem;employ_parti;secteur_agri;secteur_indus;secteur_constr;secteur_immo;secteur_comm;secteur_info;secteur_fin;secteur_spe;secteur_serv;secteur_ens;secteur_admin;secteur_sante;secteur_arts;secteur_autres;niveau_agri;niveau_articomm;niveau_lib;niveau_cata;niveau_inge;niveau_catb;niveau_tech;niveau_catc;niveau_ouvr;niveau_empl
2018;MASTER LMD;18 mois après le diplôme;hommes;Ensemble Masters LMD (hors Masters enseignement)>Ensemble Masters LMD (hors Masters enseignement et hors Dauphine et Antilles-Guyane)>Ensemble Masters LMD (hors Masters enseignement);ALL;Ensemble Masters LMD (hors Masters enseignement);disc00;Ensemble Masters LMD (hors Masters enseignement et hors Dauphine et Antilles-Guyane);disc00;Ensemble Masters LMD (hors Masters enseignement);;90;;;91;72;43;73;96;2080;32400;1760;2450;29;;7.8;1930;;1490;2380;disc00_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;MASTER LMD;30 mois après le diplôme;femmes;Ensemble Masters LMD (hors Masters enseignement)>Ensemble Masters LMD (hors Masters enseignement et hors Dauphine et Antilles-Guyane)>Ensemble Masters LMD (hors Masters enseignement);ALL;Ensemble Masters LMD (hors Masters enseignement);disc00;Ensemble Masters LMD (hors Masters enseignement et hors Dauphine et Antilles-Guyane);disc00;Ensemble Masters LMD (hors Masters enseignement);;90;;;88;61;42;74;93;1970;30700;1650;2370;33;;7.8;1930;;1490;2380;disc00_30;4;4;65;0;;22;0;1;1;0;0;1;4;19;61;3;11;1;0;0;0;1;9;2;2;11;10;9;13;4;6;10;13;5;4;0;1;3;11;47;5;22;2;0;8
2019;MASTER LMD;30 mois après le diplôme;hommes;Ensemble Masters LMD (hors Masters enseignement)>Ensemble Masters LMD (hors Masters enseignement)>Ensemble Masters LMD (hors Masters enseignement);ALL;Ensemble Masters LMD (hors Masters enseignement);disc00;Ensemble Masters LMD (hors Masters enseignement);disc00;Ensemble Masters LMD (hors Masters enseignement);12995;93;;;92;72;43;80;97;2220;34600;1880;2650;29;;7.2;1980;;1480;2480;disc00_30;5;3;72;0;;16;0;1;0;0;0;1;5;15;71;3;6;1;0;0;0;1;13;4;2;10;17;11;15;3;4;8;6;3;3;0;2;3;9;60;5;15;1;1;4
2019;MASTER LMD;30 mois après le diplôme;femmes et hommes;Ensemble Masters LMD (hors Masters enseignement)>Ensemble Masters LMD (hors Masters enseignement)>Ensemble Masters LMD (hors Masters enseignement);ALL;Ensemble Masters LMD (hors Masters enseignement);disc00;Ensemble Masters LMD (hors Masters enseignement);disc00;Ensemble Masters LMD (hors Masters enseignement);31616;93;;;90;66;42;76;95;2090;32600;1730;2500;32;59;7.2;1980;;1480;2480;disc00_30;5;4;67;0;;21;0;1;1;0;0;1;5;19;63;2;10;1;0;0;0;1;11;3;2;11;12;10;13;3;5;10;11;4;4;0;2;3;11;52;6;19;2;0;6
2020;MASTER LMD;18 mois après le diplôme;femmes;Ensemble Masters LMD (hors Masters enseignement)>Ensemble Masters LMD (hors Masters enseignement et hors Dauphine et Antilles-Guyane)>Ensemble Masters LMD (hors Masters enseignement);ALL;Ensemble Masters LMD (hors Masters enseignement);disc00;Ensemble Masters LMD (hors Masters enseignement et hors Dauphine et Antilles-Guyane);disc00;Ensemble Masters LMD (hors Masters enseignement);17864;91;86;75;86;57;42;62;92;1890;32100;1600;2220;33;;6.9;2020;;1530;2510;disc00_18;4;3;55;0;;33;1;2;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;0;1;3;12;43;5;24;2;1;10
2016;MASTER LMD;30 mois après le diplôme;femmes et hommes;Ensemble Masters LMD (hors Masters enseignement)>Ensemble Masters LMD (hors Masters enseignement et hors Dauphine et Antilles-Guyane)>Ensemble Masters LMD (hors Masters enseignement);ALL;Ensemble Masters LMD (hors Masters enseignement);disc00;Ensemble Masters LMD (hors Masters enseignement et hors Dauphine et Antilles-Guyane);disc00;Ensemble Masters LMD (hors Masters enseignement);29845;92;;;90;67;43;77;95;2000;31200;1690;2430;30;57;8.5;1830;;1450;2180;disc00_30;5;4;69;;0;19;1;1;1;0;0;1;4;15;69;2;8;1;;;0;1;11;3;;11;14;13;13;3;5;9;9;4;4;;;;10;57;5;18;2;1;8
2017;MASTER LMD;30 mois après le diplôme;hommes;Ensemble Masters LMD (hors Masters enseignement)>Ensemble Masters LMD (hors Masters enseignement et hors Dauphine et Antilles-Guyane)>Ensemble Masters LMD (hors Masters enseignement);ALL;Ensemble Masters LMD (hors Masters enseignement);disc00;Ensemble Masters LMD (hors Masters enseignement et hors Dauphine et Antilles-Guyane);disc00;Ensemble Masters LMD (hors Masters enseignement);12469;93;;;93;75;43;82;97;2200;34300;1880;2630;29;;7.8;1900;;1470;2330;disc00_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;MASTER LMD;30 mois après le diplôme;hommes;Ensemble Masters LMD (hors Masters enseignement)>Ensemble Masters LMD (hors Masters enseignement et hors Dauphine et Antilles-Guyane)>Ensemble Masters LMD (hors Masters enseignement);ALL;Ensemble Masters LMD (hors Masters enseignement);disc00;Ensemble Masters LMD (hors Masters enseignement et hors Dauphine et Antilles-Guyane);disc00;Ensemble Masters LMD (hors Masters enseignement);;90;;;90;69;47;78;96;2030;31600;1700;2420;;;10.1;1830;;1460;2230;disc00_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;MASTER LMD;30 mois après le diplôme;femmes;Ensemble Masters LMD (hors Masters enseignement)>Ensemble Masters LMD (hors Masters enseignement et hors Dauphine et Antilles-Guyane)>Ensemble Masters LMD (hors Masters enseignement);ALL;Ensemble Masters LMD (hors Masters enseignement);disc00;Ensemble Masters LMD (hors Masters enseignement et hors Dauphine et Antilles-Guyane);disc00;Ensemble Masters LMD (hors Masters enseignement);17083;91;;;88;61;43;73;93;1900;29600;1600;2280;31;;8.5;1830;;1450;2180;disc00_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;MASTER LMD;30 mois après le diplôme;femmes et hommes;Ensemble Masters LMD (hors Masters enseignement)>Ensemble Masters LMD (hors Masters enseignement et hors Dauphine et Antilles-Guyane)>Ensemble Masters LMD (hors Masters enseignement);ALL;Ensemble Masters LMD (hors Masters enseignement);disc00;Ensemble Masters LMD (hors Masters enseignement et hors Dauphine et Antilles-Guyane);disc00;Ensemble Masters LMD (hors Masters enseignement);28644;90;;;85;60;42;73;93;1900;29600;1580;2300;28;58;9.9;1870;;1490;2280;disc00_30;4;6;63;;0;21;1;2;1;0;1;1;4;19;3;64;9;1;;;0;2;11;3;;11;9;10;13;3;8;8;9;4;9;;;;9;51;4;21;2;1;12
